Test Case,Input Size,Slow Time (ms),Fast Time (ms),Slow Output File,Fast Output File,Speedup
1,64,0.051000,0.019000,OUTPUT1_SLOW.TXT,OUTPUT1_FAST.TXT,2.68
2,128,0.180000,0.033000,OUTPUT2_SLOW.TXT,OUTPUT2_FAST.TXT,5.45
3,256,0.627000,0.069000,OUTPUT3_SLOW.TXT,OUTPUT3_FAST.TXT,9.08
4,512,3.190000,0.196000,OUTPUT4_SLOW.TXT,OUTPUT4_FAST.TXT,16.27
5,1024,13.719000,0.416000,OUTPUT5_SLOW.TXT,OUTPUT5_FAST.TXT,32.97
6,2048,54.993000,0.939000,OUTPUT6_SLOW.TXT,OUTPUT6_FAST.TXT,58.56
7,4096,220.016000,2.006000,OUTPUT7_SLOW.TXT,OUTPUT7_FAST.TXT,109.67
8,8192,873.933000,4.293000,OUTPUT8_SLOW.TXT,OUTPUT8_FAST.TXT,203.57
9,16384,3498.046000,9.320000,OUTPUT9_SLOW.TXT,OUTPUT9_FAST.TXT,375.32
10,32768,13929.522000,19.888000,OUTPUT10_SLOW.TXT,OUTPUT10_FAST.TXT,700.39
